"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"239",27.634285,27.782858,26.537144,27.265715,306415200,24.441898
"240",27.17,27.445715,26.831429,27.404285,216154400,24.566122
"241",27.195715,27.6,27.077143,27.198572,168578200,24.38171
"242",27.245714,27.521429,26.139999,26.342857,256173400,23.614616
"243",26.645714,26.761429,25.514286,26.139999,305650800,23.432772
"244",26.139999,26.377142,25.842857,26.16,206869600,23.450703
"245",26.49,26.832857,26.190001,26.744286,193514300,23.97447
"246",27.16,27.701429,27.127142,27.701429,248490200,24.832487
"247",27.861429,28.475714,27.827143,28.4,120050700,25.458712
"248",28.43,28.70857,28.117144,28.421429,175933100,25.477921
"249",28.421429,28.994286,28.257143,28.367144,198881900,25.429255
"250",28.655714,28.794285,28.125713,28.547142,174911800,25.590614
"251",28.5,28.642857,28.25,28.297142,134833300,25.366503
"252",28.467142,28.608572,27.507143,27.834286,269794700,24.951582
"253",27.915714,28.198572,27.527143,27.847143,210516600,24.963108
"254",27.35,27.571428,25.555714,25.721428,363958000,23.057547
"255",25.892857,26.228571,24.318571,25.377142,518048300,22.748917
"256",25.734285,26.065714,24.4,24.464285,380954000,21.930607
"257",24.471428,25.642857,24.042856,25.628571,453470500,22.974308
"258",25.368572,25.857143,25.058571,25.431429,370743800,22.797581
"259",25.142857,25.407143,24.285715,24.67,308071400,22.115015
"260",25.360001,25.631428,25.024286,25.540001,275112600,22.894909
"261",25.388571,25.602858,23.522858,24.148571,585819500,21.647589
"262",23.604286,24.144285,22.385714,22.805714,553461300,20.443804
"263",23.072857,23.622858,22.631428,22.984285,439464900,20.603884
"264",23.101429,23.678572,22.801428,23.051428,431085900,20.66407
"265",21.151428,22.854286,20.857143,22.234285,608688500,19.931557
"266",19.455715,20,18.02,19.867144,843242400,17.809572
"267",19.998571,20.1,18.858572,19.371429,501466700,17.365198
"268",19.855715,19.870001,18.515715,18.572857,388684800,16.64933
"269",18.308571,19.028572,18.064285,18.572857,368711000,16.64933
"270",18.735714,18.969999,18.435715,18.79143,274995700,16.845266
"271",18.767143,19.35,18.571428,18.882856,310762900,16.927225
"272",18.492857,19.521429,18.485714,19.337143,336418600,17.334463
"273",19.462856,19.512857,18.882856,19.107143,252686000,17.128279
"274",19.172857,19.414286,18.774286,18.807142,224808500,16.859354
"275",18.632856,19.142857,18.414286,18.48,285260500,16.56609
"276",18.690001,18.845715,17.395714,17.428572,393318100,15.623555
"277",17.138571,17.825714,16.752857,17.32,520832900,15.526225
"278",17.440001,17.957144,17.371429,17.925714,338993200,16.06921
"279",18.287144,18.568571,18.171429,18.492857,300358100,16.577616
"280",18.671429,18.714285,17.66,17.837143,306495000,15.989813
"281",18.097143,18.540001,17.947144,18.485714,242133500,16.571217
"282",18.485714,18.685715,18.144285,18.20857,238524300,16.322771
"283",18.038572,18.154285,17.722857,17.804285,225325100,15.960355
"284",17.998571,18.107143,17.348572,17.454287,251261500,15.646605
"285",17.457144,17.799999,17.382856,17.688572,241859800,15.856628
"286",18.007143,18.067142,17.265715,17.362858,234528700,15.564646
"287",17.497143,17.501429,16.552856,17.065714,382469500,15.298277
"288",16.941429,17.167143,16.665714,17.105715,314193600,15.334135
"289",16.805714,17.298571,16.491428,17.021429,376222000,15.258579
"290",16.889999,17.578571,16.870001,17.565714,368784500,15.746495
"291",18.171429,18.885714,17.967142,18.558571,404563600,16.63652
"292",18.469999,18.601429,17.828571,17.860001,313870200,16.0103
"293",17.777143,17.997143,16.857143,17.389999,398260800,15.588975
"294",17.427143,17.84,17.200001,17.802856,446345900,15.959074
"295",17.654285,17.877142,17.464285,17.784286,305459000,15.942432
"296",17.801428,18.214285,17.258572,17.275715,368424700,15.486528
"297",17.201429,17.568571,17.007143,17.464285,307615700,15.655568
"298",17.425714,17.637142,17.052856,17.098572,249897200,15.32773
"299",17.728571,18.211428,17.428572,18.192858,290985800,16.308683
"300",18.148571,18.382856,17.881428,18.004286,264907300,16.139641
"301",17.728571,18.5,17.571428,18.277143,315525700,16.384245
"302",18.554285,18.614286,17.742857,18.087143,289160200,16.213923
"303",17.507143,18.370001,17.507143,18.104286,268149700,16.229288
"304",18.454287,19,18.381428,18.974285,301280000,17.00918
"305",19.017143,19.184286,18.524286,18.524286,252634200,16.605791
"306",18.731428,19.04143,18.454287,19.038572,227196900,17.066809
"307",19.144285,20.121429,19.091429,19.932858,266730100,17.868479
"308",19.994286,20.442858,19.618572,20.139999,263097800,18.054167
"309",20.124287,20.82,20.091429,20.722857,295521100,18.576662
"310",20.707144,20.758572,19.998571,20.035715,249957400,17.960686
"311",20.257143,20.664286,20.228571,20.43,178652600,18.314135
"312",20.467142,20.815714,20.360001,20.5,192016300,18.376886
"313",20.9,21.379999,20.515715,21.361429,258141800,19.149105
"314",21.254286,21.6,20.835714,21.07,261242100,18.887856
"315",21.008572,21.947144,21,21.658571,262892000,19.415468
"316",21.741428,22.101429,21.535715,21.868572,213604300,19.60372
"317",22.304285,22.812857,22.158571,22.27,289581600,19.963577
"318",21.935715,22.35,21.76,21.834286,253573600,19.572987
"319",21.901428,21.984285,21.494286,21.634285,218349600,19.393694
"320",21.59,22.202858,21.514286,22.078571,238940800,19.791969
"321",21.817142,21.9,20.914286,21.02,302519000,18.843031
"322",20.967142,21.321428,20.648571,21.111429,211271900,18.924994
"323",21.342857,21.388571,20.817142,21.197144,174509300,19.001825
"324",21.674286,22.014286,21.517143,21.957144,198943500,19.683119
"325",22.024286,22.285715,21.907143,22.07,176066800,19.784285
"326",22.731428,23.18,22.625713,23.005714,256691400,20.623093
"327",23.172857,24.071428,23.108572,24.022858,259788200,21.534891
"328",23.914286,24,22.584286,22.885714,359893100,20.515516
"329",23.435715,23.548571,23.011429,23.27,376047700,20.86001
"330",23.620001,24.282858,22.741428,24.134285,424016600,21.634785
"331",24.385714,24.442858,23.774286,24.247143,248118500,21.73595
"332",24.25,24.821428,24.161428,24.605715,196803600,22.05739
"333",24.444286,25.094286,24.321428,25.007143,230869100,22.41724
"334",25.17,25.714285,24.702858,24.85,284881100,22.276373
"335",24.994286,25.714285,24.98,25.714285,225894200,23.051144
"336",25.741428,25.988571,25.507143,25.848572,251520500,23.171522
"337",25.988571,26.472857,25.864286,26.389999,213639300,23.656879
"338",26.379999,26.731428,26.025715,26.665714,229717600,23.904037
"339",26.578571,26.885714,25.79143,26.084286,289283400,23.38283
"340",26.252857,26.642857,26.152857,26.437143,224771400,23.699139
"341",26.165714,26.321428,25.91,26.207144,168268100,23.492966
"342",26.45857,26.981428,26.121429,26.879999,204640800,24.096132
"343",26.944286,27.35,26.837143,27.137142,205809100,24.326643
"344",27.318571,27.462856,26.51,26.608572,229205900,23.852816
"345",26.687143,27.128571,26.314285,27.104286,218302000,24.297192
"346",27.158571,27.185715,26.714285,26.802856,191442300,24.026981
"347",26.837143,26.955715,25.9,26.228571,236455100,23.512171
"348",25.974285,26.594286,25.731428,26.557142,242462500,23.806713
"349",26.524286,26.85,25.178572,25.455715,289414300,22.819353
"350",25.608572,25.904285,24.571428,25.292856,301683900,22.673365
"351",25.824286,25.998571,25.4,25.881428,226729300,23.200979
"352",26.107143,26.632856,25.977142,26.632856,197476300,23.874584
"353",26.772858,26.85,26.245714,26.715714,185994900,23.948858
"354",26.68,26.885714,26.5,26.67,161796600,23.907881
"355",26.778572,27.077143,26.768572,26.964285,152546100,24.171686
"356",26.942858,27.092857,26.361429,26.585714,169960000,23.832323
"357",26.694286,26.885714,26.048571,26.481428,187630100,23.73884
"358",26.288572,26.727142,26.175714,26.455715,181745900,23.715788
"359",26.620001,27.120001,26.528572,27.061428,188861400,24.25877
"360",26.857143,27.135714,26.507143,26.52,241605700,23.773415
"361",26.398571,26.42,25.107143,25.944286,472098200,23.257326
"362",25.787144,26.682858,25.574286,26.52,285235300,23.773415
"363",26.334286,26.571428,25.655714,25.83,240387700,23.154871
"364",25.927143,26.085714,24.457144,24.751429,327083400,22.188009
"365",24.52,24.879999,23.615715,24.624287,336489300,22.074038
"366",24.471428,25.414286,24.152857,25.262857,262932600,22.646473
"367",25.442858,25.998571,25.344286,25.918571,224914200,23.234276
"368",25.874287,26.028572,25.335714,25.535715,202867000,22.891071
"369",25.507143,26.048571,25.257143,25.842857,197987300,23.166399
