AAPL (APPLE INC),171.51,+0.40,
Jan 28 2018 @ 22:49 ET,Bid,171.39,Ask,171.40,Size,2x2,Vol,39143011,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Jan 147.00 (AAPL1826A147-J),0.0,0.0,22.25,26.55,0,85,18 Jan 147.00 (AAPL1826M147-J),0.0,0.0,0.0,0.12,0,324,
18 Jan 147.00 (AAPL1826A147-K),0.0,0.0,22.25,26.55,0,85,18 Jan 147.00 (AAPL1826M147-K),0.0,0.0,0.0,0.12,0,324,
18 Jan 147.00 (AAPL1826A147-O),30.30,0.0,22.00,26.70,0,85,18 Jan 147.00 (AAPL1826M147-O),0.0,0.0,0.0,0.12,0,324,
18 Jan 147.00 (AAPL1826A147-OG),0.0,0.0,21.80,26.80,0,85,18 Jan 147.00 (AAPL1826M147-OG),0.0,0.0,0.0,0.12,0,324,
18 Jan 147.00 (AAPL1826A147-P),0.0,0.0,23.35,25.40,0,85,18 Jan 147.00 (AAPL1826M147-P),0.0,0.0,0.0,0.12,0,324,
18 Jan 147.00 (AAPL1826A147-S),0.0,0.0,22.25,26.15,0,85,18 Jan 147.00 (AAPL1826M147-S),0.0,0.0,0.0,0.12,0,324,
18 Jan 147.00 (AAPL1826A147-X),0.0,0.0,22.25,26.55,0,85,18 Jan 147.00 (AAPL1826M147-X),0.0,0.0,0.0,0.12,0,324,
18 Jan 147.00 (AAPL1826A147-Y),0.0,0.0,23.35,25.40,0,85,18 Jan 147.00 (AAPL1826M147-Y),0.0,0.0,0.0,0.12,0,324,
18 Jan 148.00 (AAPL1826A148),25.50,0.0,22.20,24.50,0,75,18 Jan 148.00 (AAPL1826M148),0.03,0.0,0.0,0.11,0,89,
18 Jan 148.00 (AAPL1826A148-3),0.0,0.0,21.25,25.55,0,75,18 Jan 148.00 (AAPL1826M148-3),0.38,0.0,0.0,0.16,0,89,
18 Jan 148.00 (AAPL1826A148-4),0.0,0.0,22.20,24.50,0,75,18 Jan 148.00 (AAPL1826M148-4),0.0,0.0,0.0,0.11,0,89,
18 Jan 148.00 (AAPL1826A148-8),26.79,0.0,21.00,25.55,0,75,18 Jan 148.00 (AAPL1826M148-8),0.03,0.0,0.0,0.16,0,89,
18 Jan 148.00 (AAPL1826A148-A),0.0,0.0,21.25,25.25,0,75,18 Jan 148.00 (AAPL1826M148-A),0.55,0.0,0.0,0.11,0,89,
18 Jan 148.00 (AAPL1826A148-B),29.70,0.0,21.00,25.55,0,75,18 Jan 148.00 (AAPL1826M148-B),0.0,0.0,0.0,0.11,0,89,
18 Jan 148.00 (AAPL1826A148-E),25.50,0.0,22.20,24.50,0,75,18 Jan 148.00 (AAPL1826M148-E),0.06,0.0,0.0,0.11,0,89,
18 Jan 148.00 (AAPL1826A148-I),0.0,0.0,21.25,25.50,0,75,18 Jan 148.00 (AAPL1826M148-I),0.0,0.0,0.0,0.11,0,89,
18 Jan 148.00 (AAPL1826A148-J),0.0,0.0,21.25,25.55,0,75,18 Jan 148.00 (AAPL1826M148-J),0.0,0.0,0.0,0.16,0,89,
18 Jan 148.00 (AAPL1826A148-K),0.0,0.0,21.25,25.55,0,75,18 Jan 148.00 (AAPL1826M148-K),0.0,0.0,0.0,2.13,0,89,
18 Jan 148.00 (AAPL1826A148-O),0.0,0.0,21.00,25.50,0,75,18 Jan 148.00 (AAPL1826M148-O),0.05,0.0,0.0,0.11,0,89,
18 Jan 148.00 (AAPL1826A148-OG),0.0,0.0,20.55,25.55,0,75,18 Jan 148.00 (AAPL1826M148-OG),0.0,0.0,0.0,0.11,0,89,
18 Jan 148.00 (AAPL1826A148-P),0.0,0.0,22.20,24.50,0,75,18 Jan 148.00 (AAPL1826M148-P),0.0,0.0,0.0,0.11,0,89,
